business_id,labels
003sg,1 2 3 5 6 8
00er5,1 2 3 5 6 8
00kad,1 2 5 6 8
00mc6,1 2 5 6 8
00q7x,1 2 4 5 6 8
00v0t,1 2 3 5 6 8
00y7p,1 2 5 6 8
019fg,1 2 5 6 8
019r1,1 2 3 5 6 8
01i5j,1 2 4 5 6
01is9,1 2 3 5 6 8
01mrb,1 2 5 6
01pyb,1 2 3 4 5 6 8
01s0p,1 2 3 5 6 8
01xsq,1 2 5 6 8
021oz,1 2 3 5 6 8
026nc,1 2 4 5 6
02bwy,1 2 5 6 8
02d9t,1 2 5 6 8
02eos,1 2 3 5 6 8
02fio,1 2 4 5 6 8
02pxt,1 2 3 5 6 8
02qrp,1 2 5 6
02rfd,1 2 5 6 8
0357u,1 2 5 6 8
035x6,1 2 3 5 6 8
038l4,1 2 5 6 8
03bbu,1 2 5 6 8
03ked,1 2 3 5 6 8
03m8y,1 2 3 5 6 8
03vx8,1 2 5 6 8
03yz9,1 2 4 5 6
040nh,1 2 3 5 6 8
042hy,1 2 3 5 6 8
044sl,1 2 5 6 8
045qe,1 2 5 6 8
04944,1 2 5 6 8
04cy7,1 2 3 5 6 8
04ilw,1 2 3 5 6 8
04imx,1 2 3 5 6 8
04kgm,1 2 5 6 8
04ud9,3 5 6 8
04wn2,1 2 5 6 8
04zgs,1 2 4 5 6 8
050l6,1 2 3 5 6 8
0573e,1 2 3 5 6 8
057qc,1 2 3 5 6 8
05fb2,1 2 5 6 8
05h9r,1 2 3 4 5 6 7
05ihx,1 2 4 5 6 7
05jhx,1 2 5 6 8
05rwc,1 2 3 5 6 8
06cko,1 2 3 5 6 8
06fzh,1 2 3 5 6 8
06gbm,1 2 5 6 8
06ml0,1 2 4 5 6
06p0g,1 2 3 4 5 6 8
06ums,1 2 5 6 8
06vhp,1 2 3 5 6 8
0707d,1 2 5 6 8
070ll,6 8
077lb,1 2 5 6 8
07bbs,1 2 3 5 6 8
07gmf,1 2 3 5 6 8
07nri,1 2 3 5 6 8
07o52,1 2 3 5 6 8
084gg,1 2 5 6
084v2,1 2 3 5 6 8
